what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1507004372151
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1507004372167
error,log,,,"Provisioning exception",1507004380769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004382727
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1507004382738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004383030
error,log,,,"Provisioning exception",1507004390775
error,log,,,"Provisioning exception",1507004396737
error,log,,,"Provisioning exception",1507004398590
error,log,,,"Provisioning exception",1507004399980
error,log,,,"Provisioning exception",1507004424126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004456996
error,log,,,"An error occurred while collecting items to be installed",1507004459907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004459907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004490022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004492863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004496970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1507004496981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004505274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004532836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004540325
error,log,,,"Provisioning exception",1507004570466
error,log,,,"No repository found at http://marketplace.eclipse.org/misc/installbutton.png.",1507004578894
started,bundle,org.eclipse.equinox.security.ui,1.1.0.v20101004,"org.eclipse.equinox.security.ui",1507004610470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.installationDialog",1507004612395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004698512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004698523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004717681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004721722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004741765
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1507004741775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004742056
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110815-1438,"org.eclipse.equinox.frameworkadmin.equinox",1507004802020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004807331
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507004807390
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1507004807539
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1507004807542
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1507004807674
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.200.v201103302125,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1507004807674
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1507004807674
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1507004807674
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1507004807674
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1507004807674
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1507004807674
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1507004807674
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1507004807674
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.3.v201201121156,"org.eclipse.datatools.connectivity.oda.template.ui",1507004807674
