what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1507006381339
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1507006381339
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1507006381432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507006385473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507006387875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507006417385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507006431134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1507006431165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507006437378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507006969036
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1507007126214
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1507007128385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507007131574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507007136772
executed,command,,,"org.eclipse.m2e.core.pomFileActionWithDialog.run",1507007136803
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1507007138135
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507007271849
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1507007271911
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507007271911
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1507007273441
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1507007276951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1507007277762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507007390501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507007770015
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507007778731
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507007778785
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1507007781001
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507007781230
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507007781279
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1507007905502
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507007905715
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507007905745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507007931414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1507008477802
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1507008496904
